Configuration,Experiment,Kinematics Setting,Target,sample_run_numbers, Ref_Time_Assignee
0,N-Delta,Carbon Elastics,Optics1,"[26092, 26107, 26116, 26120]", Sangbaek
1,N-Delta,HMS Carbon SIEVE,Optics1,"[26132, 26135, 26136, 26138]", Sangbaek
2,N-Delta,1H Elastics,4 cm LH2,"[26148, 26149, 26150]", Penn
3,N-Delta,1H Elastics,4 cm LH2,"[26151, 26152, 26153, 26154]", Penn
4,N-Delta,1H Elastics,4 cm LH2,"[26155, 26156, 26157]", Penn
5,N-Delta,1d,4 cm LH2,[26169], Penn
6,N-Delta,1d,4 cm LH2,[26193], Penn
7,N-Delta,1d,4 cm Dummy,[26200], Penn
8,N-Delta,2d,4 cm LH2,[26208], Penn
9,N-Delta,2d,Dummy,[26222], Penn
10,N-Delta,3d,4 cm LH2,[26235], Penn
11,N-Delta,3d,4 cm Dummy,[26242], Penn
12,N-Delta,4d,4 cm LH2,[26250], Penn
13,N-Delta,4d,4 cm Dummy,[26259], Penn
14,N-Delta,5d,4 cm LH2,[26266], Penn
15,N-Delta,5d,4 cm Dummy,[26269], Penn
16,N-Delta,6d,4 cm LH2,[26275], Penn
17,N-Delta,6d,4 cm Dummy,[26278], Penn
18,N-Delta,7d,4 cm LH2,[26279], Penn
19,N-Delta,7d,4 cm LH2,[26288], Penn
20,N-Delta,7d,4 cm Dummy,[26297], Penn
21,N-Delta,1a,4 cm LH2,[26306], Penn
22,N-Delta,1a,4 cm Dummy,[26310], Penn
23,N-Delta,2a,4 cm LH2,[26314], Penn
24,N-Delta,2a,4 cm Dummy,[26326], Penn
25,N-Delta,3a,4 cm LH2,[26330], Penn
26,N-Delta,3a,4 cm Dummy,[26336], Penn
27,N-Delta,4a,4 cm LH2,[26342], Penn
28,N-Delta,4a,4 cm Dummy,[26347], Penn
29,N-Delta,5a,4 cm LH2,[26354], Penn
30,N-Delta,5a,4 cm Dummy,[26356], Penn
31,N-Delta,6a,4 cm LH2,[26358], Penn
32,N-Delta,6a,4 cm LH2,[26364], Penn
33,N-Delta,6a,4 cm Dummy,[26367], Penn
34,N-Delta,7a,4 cm LH2,[26369], Penn
35,N-Delta,7a,4 cm Dummy,[26372], Penn
36,N-Delta,1b,4 cm LH2,[26382], Chathuri
37,N-Delta,1b,4 cm Dummy,[26384], Chathuri
38,N-Delta,2b,4 cm LH2,[26395], Chathuri
39,N-Delta,2b,4 cm Dummy,[26397], Chathuri
