Run Number,Run Status,Experiment,Kinematics Setting,Target,Beam energy (GeV),Beam current (uA),HMS Angle (deg),HMS Angle Uncertainty (deg),HMS Angle Log Entry,HMS Momentum (GeV/c),HMS Polarity,HMS Momentum Log Entry,SHMS Angle (deg),SHMS Angle Uncertainty (deg),SHMS Angle Log Entry,SHMS Momentum (GeV/c),SHMS Polarity,SHMS Momentum Log Entry,Comments
26066,Junk,N-Delta,Beam Checkout,Home,1.424427,1,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,Beam Checkout Procedure
26067,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,Orbit Lock Issues
26068,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,Orbit Lock Issues
26069,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,Orbit Lock Issues
26070,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,Orbit Lock Issues
26071,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,
26072,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,
26073,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480721,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480699,
26074,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26075,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26076,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26077,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26078,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26079,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26080,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26081,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26082,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26083,Junk,N-Delta,Beam Checkout,Carbon Hole,1.424427,2.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,Beam Checkout Procedure
26084,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,
26085,Junk,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.505,0,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.505,0.005,https://logbooks.jlab.org/entry/4480689,-1.413,electron,https://logbooks.jlab.org/entry/4480877,Some hodoscopes paddle HVs were turned off
26086,Junk,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,-1.413,electron,https://logbooks.jlab.org/entry/4480877,Some hodoscopes paddle HVs were turned off
26087,Junk,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.413,electron,https://logbooks.jlab.org/entry/4480877,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,-1.413,electron,https://logbooks.jlab.org/entry/4480877,Some hodoscopes paddle HVs were turned off
26088,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.5549,electron,N/A,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -9.1 
26089,Junk,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.5549,electron,N/A,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,CODA Mistake
26090,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.5479,electron,https://logbooks.jlab.org/entry/4481063,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -8.7
26091,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.54079,electron,https://logbooks.jlab.org/entry/4481079,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -8.3
26092,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.53372,electron,N/A,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -7.8
26093,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.52666,electron,N/A,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -7.4
26094,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.51959,electron,N/A,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -7.0
26095,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.5125,electron,https://logbooks.jlab.org/entry/4481106,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -6.5
26096,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.5055,electron,https://logbooks.jlab.org/entry/4481112,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -6.1
26097,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.4984,electron,https://logbooks.jlab.org/entry/4481127,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -5.7
26098,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.4913,electron,https://logbooks.jlab.org/entry/4481127,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -5.2
26099,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.4842,electron,https://logbooks.jlab.org/entry/4481134,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -4.8
26100,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.4772,electron,https://logbooks.jlab.org/entry/4481141,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -4.3
26101,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.4701,electron,https://logbooks.jlab.org/entry/4481151,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -3.8
26102,Good,N-Delta,Carbon Elastics,Optics1,1.424427,0.5,14.005,0,https://logbooks.jlab.org/entry/4480999,-1.463,electron,https://logbooks.jlab.org/entry/4481158,14.0025,0.0025,https://logbooks.jlab.org/entry/4480999,N/A,proton,N/A,HMS delta -3.4
